assembled_sku,component_type,component_sku
M22-D-S-K10,operator,M22-D-S
M22-D-S-K10,buttonless_operator,M22-D-X
M22-D-S-K10,button_plate,M22-XD-S
M22-D-S-K10,contact_block,M22-K10
M22-D-S-K01,operator,M22-D-S
M22-D-S-K01,buttonless_operator,M22-D-X
M22-D-S-K01,button_plate,M22-XD-S
M22-D-S-K01,contact_block,M22-K01
M22-D-S-K20,operator,M22-D-S
M22-D-S-K20,buttonless_operator,M22-D-X
M22-D-S-K20,button_plate,M22-XD-S
M22-D-S-K20,contact_block,M22-K20
M22-D-S-K02,operator,M22-D-S
M22-D-S-K02,buttonless_operator,M22-D-X
M22-D-S-K02,button_plate,M22-XD-S
M22-D-S-K02,contact_block,M22-K02
M22-D-S-K11,operator,M22-D-S
M22-D-S-K11,buttonless_operator,M22-D-X
M22-D-S-K11,button_plate,M22-XD-S
M22-D-S-K11,contact_block,M22-K11
